"year","value","GrowthRate"
"2025","8184437460","0.0098"
"2030","8548487400","0.0087"
"2035","8887524213","0.0078"
"2040","9198847240","0.0069"
"2045","9481803274","0.0061"
"2050","9735033990","0.0053"
"2055","9958094074","0.0045"
"2060","10151448761","0.0039"
"2065","10317830205","0.0033"
"2070","10459152507","0.0027"
"2075","10577155889","0.0022"
"2080","10673719474","0.0018"
"2085","10750416739","0.0014"
"2090","10809575802","0.0011"
"2095","10851460597","0.0008"
"2100","10874902318","0.0004"